Time,LIVINGZONE:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVINGZONE:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVINGZONE:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVINGZONE:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LIVINGZONE::Des Latent Heat Load [W],LIVINGZONE::Des Latent Cool Load [W],LIVINGZONE::Des Latent Heat Mass Flow [kg/s],LIVINGZONE::Des Latent Cool Mass Flow [kg/s],LIVINGZONE::Des Heat Load No DOAS [W],LIVINGZONE::Des Sens Cool Load No DOAS [W],LIVINGZONE::Des Latent Heat Load No DOAS [W],LIVINGZONE::Des Latent Cool Load No DOAS [W],LIVINGZONE:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],LIVINGZONE:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],LIVINGZONE:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LIVINGZONE:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:01:00,8.010806E+03,9.844743E+02,5.577761E-01,8.694224E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388831E+01,6.359123E+01
00:02:00,8.010806E+03,9.822201E+02,5.577761E-01,8.674316E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388831E+01,6.361360E+01
00:03:00,8.010806E+03,9.799722E+02,5.577761E-01,8.654464E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388831E+01,6.363593E+01
00:04:00,8.010806E+03,9.777305E+02,5.577761E-01,8.634666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388831E+01,6.365823E+01
00:05:00,8.010806E+03,9.754951E+02,5.577761E-01,8.614923E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388831E+01,6.368048E+01
00:06:00,8.010806E+03,9.732658E+02,5.577761E-01,8.595235E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388831E+01,6.370269E+01
00:07:00,8.010806E+03,9.710427E+02,5.577761E-01,8.575602E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388831E+01,6.372486E+01
00:08:00,8.010806E+03,9.688258E+02,5.577761E-01,8.556023E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388831E+01,6.374699E+01
00:09:00,8.010806E+03,9.666151E+02,5.577761E-01,8.536499E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388831E+01,6.376909E+01
00:10:00,8.010806E+03,9.644106E+02,5.577761E-01,8.517029E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388831E+01,6.379116E+01
00:11:00,8.010806E+03,9.622122E+02,5.577761E-01,8.497614E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388831E+01,6.381320E+01
00:12:00,8.010805E+03,9.600199E+02,5.577761E-01,8.478253E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388831E+01,6.383520E+01
00:13:00,8.010805E+03,9.578338E+02,5.577761E-01,8.458946E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388831E+01,6.385717E+01
00:14:00,8.010805E+03,9.556538E+02,5.577761E-01,8.439693E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388831E+01,6.387911E+01
00:15:00,8.010805E+03,9.534799E+02,5.577761E-01,8.420494E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388832E+01,6.390103E+01
00:16:00,8.010805E+03,9.513121E+02,5.577761E-01,8.401349E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388832E+01,6.392292E+01
00:17:00,8.010805E+03,9.491504E+02,5.577761E-01,8.382258E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388832E+01,6.394478E+01
00:18:00,8.010805E+03,9.469948E+02,5.577761E-01,8.363220E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388832E+01,6.396662E+01
00:19:00,8.010805E+03,9.448452E+02,5.577761E-01,8.344236E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388832E+01,6.398843E+01
00:20:00,8.010805E+03,9.427017E+02,5.577761E-01,8.325305E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994452E+01,2.388832E+01,6.401022E+01
