Time,LIVINGZONE:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVINGZONE:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVINGZONE:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVINGZONE:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LIVINGZONE::Des Latent Heat Load [W],LIVINGZONE::Des Latent Cool Load [W],LIVINGZONE::Des Latent Heat Mass Flow [kg/s],LIVINGZONE::Des Latent Cool Mass Flow [kg/s],LIVINGZONE::Des Heat Load No DOAS [W],LIVINGZONE::Des Sens Cool Load No DOAS [W],LIVINGZONE::Des Latent Heat Load No DOAS [W],LIVINGZONE::Des Latent Cool Load No DOAS [W],LIVINGZONE:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],LIVINGZONE:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],LIVINGZONE:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LIVINGZONE:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:01:00,8.011056E+03,9.816692E+02,5.577935E-01,8.669450E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388831E+01,6.361866E+01
00:02:00,8.011056E+03,9.794201E+02,5.577935E-01,8.649587E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388831E+01,6.364103E+01
00:03:00,8.011056E+03,9.771772E+02,5.577935E-01,8.629779E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388831E+01,6.366337E+01
00:04:00,8.011056E+03,9.749406E+02,5.577935E-01,8.610026E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388831E+01,6.368567E+01
00:05:00,8.011056E+03,9.727102E+02,5.577935E-01,8.590328E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388831E+01,6.370792E+01
00:06:00,8.011056E+03,9.704859E+02,5.577935E-01,8.570684E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388831E+01,6.373014E+01
00:07:00,8.011055E+03,9.682679E+02,5.577935E-01,8.551096E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388831E+01,6.375231E+01
00:08:00,8.011055E+03,9.660560E+02,5.577935E-01,8.531561E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388831E+01,6.377445E+01
00:09:00,8.011055E+03,9.638503E+02,5.577935E-01,8.512082E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388831E+01,6.379656E+01
00:10:00,8.011055E+03,9.616508E+02,5.577935E-01,8.492656E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388831E+01,6.381863E+01
00:11:00,8.011055E+03,9.594574E+02,5.577935E-01,8.473285E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388831E+01,6.384067E+01
00:12:00,8.011055E+03,9.572702E+02,5.577935E-01,8.453968E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388831E+01,6.386268E+01
00:13:00,8.011055E+03,9.550890E+02,5.577935E-01,8.434705E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388831E+01,6.388465E+01
00:14:00,8.011055E+03,9.529140E+02,5.577935E-01,8.415496E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388832E+01,6.390660E+01
00:15:00,8.011055E+03,9.507451E+02,5.577935E-01,8.396341E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388832E+01,6.392852E+01
00:16:00,8.011055E+03,9.485823E+02,5.577935E-01,8.377240E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388832E+01,6.395041E+01
00:17:00,8.011055E+03,9.464255E+02,5.577935E-01,8.358193E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388832E+01,6.397228E+01
00:18:00,8.011055E+03,9.442749E+02,5.577935E-01,8.339199E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388832E+01,6.399412E+01
00:19:00,8.011055E+03,9.421302E+02,5.577935E-01,8.320259E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388832E+01,6.401593E+01
00:20:00,8.011055E+03,9.399917E+02,5.577935E-01,8.301372E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388832E+01,6.403773E+01
00:21:00,8.011055E+03,9.378591E+02,5.577935E-01,8.282538E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388832E+01,6.405949E+01
00:22:00,8.011055E+03,9.357326E+02,5.577935E-01,8.263758E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388832E+01,6.408125E+01
00:23:00,8.011055E+03,9.336122E+02,5.577935E-01,8.245030E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388832E+01,6.410297E+01
00:24:00,8.011055E+03,9.314977E+02,5.577935E-01,8.226356E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.994494E+01,2.388832E+01,6.412468E+01
