Date/Time,Environment:Site Outdoor Air Drybulb Temperature [F](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [F](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [kBtuh/sqft](Hourly),Environment:Site Direct Solar Radiation Rate per Area [kBtuh/sqft](Hourly),LIVINGZONE:Zone Mean Air Temperature [F](Hourly),LIVINGZONE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Rate [kBtuh](Hourly),LIVINGZONE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Rate [kBtuh](Hourly) 
 01/21  01:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979304514208991,0.0000000000000000 
 01/21  02:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979305151385859,0.0000000000000000 
 01/21  03:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979305730789903,0.0000000000000000 
 01/21  04:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979306250499235,0.0000000000000000 
 01/21  05:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979306722315812,0.0000000000000000 
 01/21  06:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979307152053437,0.0000000000000000 
 01/21  07:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979307538585537,0.0000000000000000 
 01/21  08:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979307886613412,0.0000000000000000 
 01/21  09:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979308203477160,0.0000000000000000 
 01/21  10:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979308492867681,0.0000000000000000 
 01/21  11:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979308754939687,0.0000000000000000 
 01/21  12:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979308994994391,0.0000000000000000 
 01/21  13:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979309210630881,0.0000000000000000 
 01/21  14:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979309402063947,0.0000000000000000 
 01/21  15:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979309573812785,0.0000000000000000 
 01/21  16:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979309730285593,0.0000000000000000 
 01/21  17:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979309872159277,0.0000000000000000 
 01/21  18:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979310001214046,0.0000000000000000 
 01/21  19:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979310115987538,0.0000000000000000 
 01/21  20:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979310219015709,0.0000000000000000 
 01/21  21:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979310312916972,0.0000000000000000 
 01/21  22:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979310399246565,0.0000000000000000 
 01/21  23:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979310475189138,0.0000000000000000 
 01/21  24:00:00,-1.6600000000000392,-1.6600004278444942,0.0000000000000000,0.0000000000000000,69.999999999999972,33.979310545576944,0.0000000000000000 
 01/21  01:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012374223942210,0.0000000000000000 
 01/21  02:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012374892046957,0.0000000000000000 
 01/21  03:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012375494461580,0.0000000000000000 
 01/21  04:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012376037399694,0.0000000000000000 
 01/21  05:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012376531052528,0.0000000000000000 
 01/21  06:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012376981028776,0.0000000000000000 
 01/21  07:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012377387934684,0.0000000000000000 
 01/21  08:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012377752684294,0.0000000000000000 
 01/21  09:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012378080734273,0.0000000000000000 
 01/21  10:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012378377323060,0.0000000000000000 
 01/21  11:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012378649703813,0.0000000000000000 
 01/21  12:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012378899739836,0.0000000000000000 
 01/21  13:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012379125733506,0.0000000000000000 
 01/21  14:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012379330168411,0.0000000000000000 
 01/21  15:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012379515209823,0.0000000000000000 
 01/21  16:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012379684241097,0.0000000000000000 
 01/21  17:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012379836816532,0.0000000000000000 
 01/21  18:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012379971731654,0.0000000000000000 
 01/21  19:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012380091095775,0.0000000000000000 
 01/21  20:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012380199918429,0.0000000000000000 
 01/21  21:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012380298956543,0.0000000000000000 
 01/21  22:00:00,4.2800000000000260,4.2800000000000260,0.0000000000000000,0.0000000000000000,69.999999999999972,31.012380387659757,0.0000000000000000 
