Time,LIVINGZONE:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVINGZONE:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVINGZONE:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVINGZONE:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LIVINGZONE::Des Latent Heat Load [W],LIVINGZONE::Des Latent Cool Load [W],LIVINGZONE::Des Latent Heat Mass Flow [kg/s],LIVINGZONE::Des Latent Cool Mass Flow [kg/s],LIVINGZONE::Des Heat Load No DOAS [W],LIVINGZONE::Des Sens Cool Load No DOAS [W],LIVINGZONE::Des Latent Heat Load No DOAS [W],LIVINGZONE::Des Latent Cool Load No DOAS [W],LIVINGZONE:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],LIVINGZONE:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],LIVINGZONE:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LIVINGZONE:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:01:00,8.005766E+03,9.717778E+02,5.574252E-01,8.582094E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388831E+01,6.371614E+01
00:02:00,8.005766E+03,9.695505E+02,5.574252E-01,8.562423E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388831E+01,6.373849E+01
00:03:00,8.005765E+03,9.673293E+02,5.574252E-01,8.542806E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388831E+01,6.376081E+01
00:04:00,8.005765E+03,9.651143E+02,5.574252E-01,8.523245E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388831E+01,6.378308E+01
00:05:00,8.005765E+03,9.629055E+02,5.574252E-01,8.503737E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388831E+01,6.380532E+01
00:06:00,8.005765E+03,9.607028E+02,5.574252E-01,8.484284E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388831E+01,6.382751E+01
00:07:00,8.005765E+03,9.585063E+02,5.574252E-01,8.464885E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388831E+01,6.384966E+01
00:08:00,8.005765E+03,9.563159E+02,5.574252E-01,8.445540E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388831E+01,6.387178E+01
00:09:00,8.005765E+03,9.541316E+02,5.574252E-01,8.426249E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388832E+01,6.389386E+01
00:10:00,8.005765E+03,9.519534E+02,5.574252E-01,8.407012E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388832E+01,6.391591E+01
00:11:00,8.005765E+03,9.497813E+02,5.574252E-01,8.387829E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388832E+01,6.393792E+01
00:12:00,8.005765E+03,9.476153E+02,5.574252E-01,8.368700E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388832E+01,6.395991E+01
00:13:00,8.005765E+03,9.454553E+02,5.574252E-01,8.349624E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388832E+01,6.398186E+01
00:14:00,8.005765E+03,9.433014E+02,5.574252E-01,8.330602E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388832E+01,6.400378E+01
00:15:00,8.005765E+03,9.411536E+02,5.574252E-01,8.311633E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388832E+01,6.402568E+01
00:16:00,8.005765E+03,9.390118E+02,5.574252E-01,8.292718E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388832E+01,6.404754E+01
00:17:00,8.005765E+03,9.368761E+02,5.574251E-01,8.273856E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110805E+01,7.993587E+01,2.388832E+01,6.406938E+01
